Classifier,Field1,Field2,,accuracy, precision, recall, f1, f2
Random Forest, exercised_stock_options, bonus, , 0.84838, 0.50958, 0.38550, 0.43894, 0.40523
Random Forest, exercised_stock_options, restricted_stock, , 0.81392, 0.27689, 0.13000, 0.17693, 0.14543
Random Forest, exercised_stock_options, shared_receipt_with_poi, , 0.84092, 0.54564, 0.27200, 0.36303, 0.30232
Random Forest, exercised_stock_options, to_messages, , 0.85242, 0.62652, 0.28350, 0.39036, 0.31836
Random Forest, exercised_stock_options, from_messages, , 0.80650, 0.31951, 0.14250, 0.19710, 0.16026
Random Forest, exercised_stock_options, from_poi_ratio, , 0.82225, 0.44192, 0.25300, 0.32178, 0.27665
Random Forest, exercised_stock_options, shared_receipt_poi_ratio, , 0.84500, 0.55335, 0.36300, 0.43841, 0.38982
Random Forest, exercised_stock_options, to_poi_ratio, , 0.82258, 0.42825, 0.19250, 0.26561, 0.21632
Random Forest, exercised_stock_options, bonus_salary_ratio, , 0.83354, 0.43408, 0.27000, 0.33292, 0.29208
Random Forest, exercised_stock_options, exercised_stock_percent, , 0.89509, 0.36538, 0.20900, 0.26590, 0.22857
Random Forest, exercised_stock_options, bonus_total_ratio, , 0.83962, 0.46308, 0.26650, 0.33831, 0.29123
Random Forest, bonus, restricted_stock, , 0.79783, 0.24213, 0.10000, 0.14154, 0.11330
Random Forest, bonus, shared_receipt_with_poi, , 0.79064, 0.34462, 0.16800, 0.22588, 0.18719
Random Forest, bonus, to_messages, , 0.80700, 0.42939, 0.18700, 0.26054, 0.21080
Random Forest, bonus, from_messages, , 0.78745, 0.30440, 0.13150, 0.18366, 0.14835
Random Forest, bonus, from_poi_ratio, , 0.80010, 0.50051, 0.24350, 0.32762, 0.27137
Random Forest, bonus, shared_receipt_poi_ratio, , 0.82173, 0.51487, 0.33750, 0.40773, 0.36247
Random Forest, bonus, to_poi_ratio, , 0.79210, 0.45873, 0.21950, 0.29692, 0.24506
Random Forest, bonus, bonus_salary_ratio, , 0.72367, 0.28394, 0.16000, 0.20467, 0.17530
Random Forest, bonus, exercised_stock_percent, , 0.83767, 0.52006, 0.33700, 0.40898, 0.36252
Random Forest, bonus, bonus_total_ratio, , 0.75367, 0.41026, 0.24800, 0.30913, 0.26930
Random Forest, restricted_stock, shared_receipt_with_poi, , 0.77667, 0.10648, 0.04600, 0.06425, 0.05190
Random Forest, restricted_stock, to_messages, , 0.79567, 0.17246, 0.05950, 0.08848, 0.06847
Random Forest, restricted_stock, from_messages, , 0.78817, 0.11063, 0.03850, 0.05712, 0.04427
Random Forest, restricted_stock, from_poi_ratio, , 0.79000, 0.15879, 0.06050, 0.08762, 0.06905
Random Forest, restricted_stock, shared_receipt_poi_ratio, , 0.80617, 0.30361, 0.12600, 0.17809, 0.14270
Random Forest, restricted_stock, to_poi_ratio, , 0.77817, 0.16834, 0.08400, 0.11207, 0.09335
Random Forest, restricted_stock, bonus_salary_ratio, , 0.78542, 0.12021, 0.04550, 0.06601, 0.05196
Random Forest, restricted_stock, exercised_stock_percent, , 0.80138, 0.09917, 0.03600, 0.05282, 0.04126
Random Forest, restricted_stock, bonus_total_ratio, , 0.79708, 0.17586, 0.05900, 0.08836, 0.06804
Random Forest, shared_receipt_with_poi, to_messages, , 0.83289, 0.19565, 0.16200, 0.17724, 0.16777
Random Forest, shared_receipt_with_poi, from_messages, , 0.79978, 0.07158, 0.06700, 0.06921, 0.06787
Random Forest, shared_receipt_with_poi, from_poi_ratio, , 0.84189, 0.19568, 0.13600, 0.16047, 0.14483
Random Forest, shared_receipt_with_poi, shared_receipt_poi_ratio, , 0.85489, 0.30435, 0.23800, 0.26712, 0.24885
Random Forest, shared_receipt_with_poi, to_poi_ratio, , 0.84900, 0.31777, 0.31300, 0.31537, 0.31394
Random Forest, shared_receipt_with_poi, bonus_salary_ratio, , 0.79573, 0.36706, 0.17050, 0.23284, 0.19095
Random Forest, shared_receipt_with_poi, exercised_stock_percent, , 0.82400, 0.42632, 0.16200, 0.23478, 0.18493
Random Forest, shared_receipt_with_poi, bonus_total_ratio, , 0.78418, 0.28604, 0.12500, 0.17397, 0.14086
Random Forest, to_messages, from_messages, , 0.82422, 0.02606, 0.01600, 0.01983, 0.01734
Random Forest, to_messages, from_poi_ratio, , 0.82556, 0.12891, 0.09900, 0.11199, 0.10382
Random Forest, to_messages, shared_receipt_poi_ratio, , 0.86989, 0.38735, 0.29400, 0.33428, 0.30889
Random Forest, to_messages, to_poi_ratio, , 0.84144, 0.20633, 0.15000, 0.17371, 0.15866
Random Forest, to_messages, bonus_salary_ratio, , 0.77700, 0.24407, 0.10800, 0.14974, 0.12155
